entity,subj_action,subj_communicative,subj_mental,subj_other,subj_total,pass_total,obj_total,prep_target_total,nom_agent_total,total,action_agency_ratio,communicative_share,patient_ratio,passive_share,subj_action_articles,subj_communicative_articles,subj_mental_articles,subj_other_articles,pass_articles,obj_articles,prep_target_articles,nom_agent_articles
Maersk,0,4,0,0,4,0,0,0,0,4,0.0,1.0,0.0,,0,2,0,0,0,0,0,0
Healey,0,3,0,1,4,0,0,0,0,4,0.0,0.75,0.0,,0,1,0,1,0,0,0,0
Higgins,0,4,0,0,4,0,0,0,0,4,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Ghalibaf,0,2,0,2,4,0,0,0,0,4,0.0,0.5,0.0,,0,2,0,2,0,0,0,0
Nord,0,0,0,3,3,0,1,0,0,4,0.0,0.0,0.25,0.0,0,0,0,1,0,1,0,0
Badea,0,2,0,1,3,1,0,0,0,4,0.0,0.667,0.25,1.0,0,2,0,1,1,0,0,0
Wang,0,2,0,1,3,0,1,0,0,4,0.0,0.667,0.25,0.0,0,1,0,1,0,1,0,0
Vanguard,0,2,0,1,3,0,1,0,0,4,0.0,0.667,0.25,0.0,0,2,0,1,0,1,0,0
IDF,0,2,0,0,2,0,1,0,0,3,0.0,1.0,0.333,0.0,0,1,0,0,0,1,0,0
Touska,0,0,0,0,0,2,1,0,0,3,0.0,,1.0,0.667,0,0,0,0,2,1,0,0
Diako,0,0,1,1,2,0,1,0,0,3,0.0,0.0,0.333,0.0,0,0,1,1,0,1,0,0
Sana,0,0,1,1,2,0,1,0,0,3,0.0,0.0,0.333,0.0,0,0,1,1,0,1,0,0
International Monetary Fund,0,2,0,1,3,0,0,0,0,3,0.0,0.667,0.0,,0,2,0,1,0,0,0,0
Epaminondas,0,0,0,0,0,3,0,0,0,3,0.0,,1.0,1.0,0,0,0,0,3,0,0,0
Steve Witkoff,0,0,0,2,2,0,1,0,0,3,0.0,0.0,0.333,0.0,0,0,0,2,0,1,0,0
Friedrich Merz,0,3,0,0,3,0,0,0,0,3,0.0,1.0,0.0,,0,3,0,0,0,0,0,0
Starmer,0,1,0,2,3,0,0,0,0,3,0.0,0.333,0.0,,0,1,0,2,0,0,0,0
