entity,subj_action,subj_communicative,subj_mental,subj_other,subj_total,pass_total,obj_total,prep_target_total,nom_agent_total,total,action_agency_ratio,communicative_share,patient_ratio,passive_share,subj_action_articles,subj_communicative_articles,subj_mental_articles,subj_other_articles,pass_articles,obj_articles,prep_target_articles,nom_agent_articles
Taif Agreement,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Shia Muslims,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
SNSC,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Thomas Massie,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
US State Department,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Rumley,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Rathke,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Raphaël Chenuil-Hazan,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Randy George,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
UNHCR,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
US Defense Department,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Radmehr,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
US Department of Defence,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Rachel Ledwith,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Qatar,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
US Marines,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Qalibaf,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Pyongyang,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
South Pars,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Pouria Zeraati,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Ports and Maritime Organisation of the Islamic Republic of Iran,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Red Crescent,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Red Sea,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Republican Party,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Tony Burke,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Ronald Reagan,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Tim Wilkins,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Tine Munk,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Tiyari,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Road Less Travelled,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Todd Harrison,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Richard Corbett,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
UK Government,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Tony Vaughan,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Reyhaneh,1,0,0,0,1,0,0,0,0,1,1.0,0.0,0.0,,1,0,0,0,0,0,0,0
Trump Administration,0,0,0,0,0,0,0,0,1,1,1.0,,0.0,,0,0,0,0,0,0,0,1
Trump's Make America Great Again,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Revolutionary Courts,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Turkey,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
AFP,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Ledwith,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
MoD,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Defence Investment Plan,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Elisa Ewers,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Ed Davey,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Ebrahim Azizi,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Dubai,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Dr Emma Briant,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Donald Rothwell,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
DoD,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Dilman Mahmoud,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Department of Defense,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Dems,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Dax,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
HRW,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
David Schultz,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
David Satterfield,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Darren Jones,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Dan Caine,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Cormac McGarry,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Corbett,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Control of the Strait of Hormuz,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Committee for National Security and Foreign Policy,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Clock,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Christoph Koettl,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Emmanuel Macron,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Erfan Shakourzadeh,0,0,0,0,0,1,0,0,0,1,0.0,,1.0,1.0,0,0,0,0,1,0,0,0
Esmail Baqaei,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Esmail Khatib,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Guo Jiakun,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Gulf of Oman,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Gregory Meeks,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Greer,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Getty Images BBC InDepth,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Gerapetritis,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Georgieva,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
George HW Bush,0,0,1,0,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,1,0,0,0,0,0
George Floyd,0,0,0,0,0,1,0,0,0,1,0.0,,1.0,1.0,0,0,0,0,1,0,0,0
Gaza,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Gargash,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Gal,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
French,0,0,0,0,0,0,0,0,1,1,1.0,,0.0,,0,0,0,0,0,0,0,1
Fox Business News,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
"Foreign, Commonwealth & Development Office",0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Foreign Office,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Firozabad,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Fatemeh Pasandideh,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Fatemeh Mohajerani,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Fars News Agency,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Ewers,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Chris Sherriff,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Charles O Blaha,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Charles,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
BBC World Service,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
BBC Gloucestershire,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Azerbaijan,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Aywar Shekhi,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Ayatollah Ruhollah Khomeini,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Attaullah Tarar,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Atefeh Ramezanisadeh,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Assaf Orion,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Arun Kumar,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Aragchi,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Anwar Gargash,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Anura Kumara Dissanayake,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Annie Shiel,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Anna Kelly,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Andrew Peek,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Alliance Fairfax,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Ali Larijani,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Alexandra Snow,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Akraminia,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Ahmad Vahidi,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Adam Smith,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Abu Dhabi,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
BBC Kent,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Bab al-Mandab,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Champagne,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Babu,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Carlos Gimenez,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Campaign for Nuclear Disarmament (CND,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
CND,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
CNBC,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
CMA CGM,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
CCTV,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
CBS,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Bushehr,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Bryant,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
British Royal Navy,1,0,0,0,1,0,0,0,0,1,1.0,0.0,0.0,,1,0,0,0,0,0,0,0
Briant,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Boxes,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Bleik,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Blanford,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Blaha,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Bill Greer,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Barack Obama,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Bansal,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Bank,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Bangladesh,0,0,0,0,0,1,0,0,0,1,0.0,,1.0,1.0,0,0,0,0,1,0,0,0
Bahrain,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
HMS Dragon,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Haji Ali,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Ministry of Sustainability,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Kurdistan Human Rights Network,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
London Blood Bikes,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Lisa Smart,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Lindsey German,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Lindsay James,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Lina Khatib,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Lee Kuan Yew,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Lee,0,0,0,0,0,1,0,0,0,1,0.0,,1.0,1.0,0,0,0,0,1,0,0,0
AI,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Kuwait,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Kutani,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Kumar,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Hamas,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Kristalina Georgieva,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Kim Ghattas,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Khatib,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Kharg Island,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Khamenei,0,0,0,0,0,1,0,0,0,1,0.0,,1.0,1.0,0,0,0,0,1,0,0,0
Katz,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Katie Stevens,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Kathleen Brooks,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Kamran Yousef,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Josh Hawley,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Lt Col Rachel E VanLandingham,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Lyse Doucet,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Mahmood Amiry-Moghaddam,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Maldives,1,0,0,0,1,0,0,0,0,1,1.0,0.0,0.0,,1,0,0,0,0,0,0,0
Ministry of External Affairs,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Mike Turner,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Mike Huckabee,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Mike Higgins,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Michelle Wiese Bockmann,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Michael Young,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Mehrab Abdollahzadeh,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Mehr,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Meeks,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
McGarry,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Mazda,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Mary Anne Velasquez de Vera,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Marwa Fatafta,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Mark Warner,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Mark Montgomery,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Mark Hunt,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Maritime Trade Operations Centre (UKMTO,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
MarineTraffic,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Marine Traffic,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Marine,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Maor,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Joseph Aoun,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Jorgen Watne Frydnes,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
John Kennedy,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Ichiro Kutani,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
IRGC Naval Command,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Husayn ibn Ali,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Hunt,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Hung Cao,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Human Rights Office,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Human Rights Activists News Agency,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Human Rights Activists,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Hui Chuan - last,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Huckabee,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
House Intelligence Committee,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Hormuz Strait,0,0,0,0,0,1,0,0,0,1,0.0,,1.0,1.0,0,0,0,0,1,0,0,0
Hormuz,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Hong Kong,1,0,0,0,1,0,0,0,0,1,1.0,0.0,0.0,,1,0,0,0,0,0,0,0
Hengaw,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Heather Brandon-Smith,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Hawley,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Harrison,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Hampshire,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Hamish Falconer,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Hamidreza Haji Bababei,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Hamidreza,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
ITV,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
International Maritime Organization,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Joeseph Aoun,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Iran Labour News Agency,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Joe Biden,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Joe,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Jewish People Policy Institute,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Jeff Rathke,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Jeddah,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Jared Golden,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Jakob Larsen,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
J D Vance,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Italy,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Israel Katz,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Israel Defense Forces (IDF,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Isle of Wight Air Ambulance,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Islamic Revolutionary Guards Corps,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Islamic Revolution Guard Corps,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Ishaq Dar,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Irna news agency,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
Iris Dena,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Irins Bushehr,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Iraq,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
Iranian Students' News Agency,0,0,0,0,0,0,1,0,0,1,0.0,,1.0,0.0,0,0,0,0,0,1,0,0
Iranian Revolutionary Guard Corps,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,,0,0,0,1,0,0,0,0
sports ministry,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0.0,,0,1,0,0,0,0,0,0
