entity,predicate,predicate_class,role,count,articles,example_sent
IRGC,be,other,subject,2,2,49:17
IRGC,share,other,subject,1,1,49:18
IRGC,open,other,subject,1,1,53:2
IRGC,target,action,subject,1,1,53:6
IRGC,hail,other,subject,1,1,53:18
IRGC,mention,other,subject,1,1,53:20
IRGC,add,communicative,subject,1,1,61:7
IRGC,designate,other,subject,1,1,63:8
IRGC Naval Command,say,communicative,subject,1,1,53:7
IRNA,report,communicative,subject,1,1,35:6
IRNA,say,communicative,subject,1,1,59:22
ITV,tell,communicative,object,1,1,91:8
Ichiro Kutani,say,communicative,subject,1,1,90:30
India,say,communicative,subject,1,1,59:41
India,host,other,subject,1,1,72:7
International Maritime Organization,visit,other,object,1,1,91:28
International Monetary Fund,warn,communicative,subject,2,2,38:49
International Monetary Fund,predict,other,subject,1,1,44:14
Iran,say,communicative,subject,26,22,3:19
Iran,be,other,subject,22,18,3:11
Iran,have,other,subject,20,17,11:19
Iran,agree,communicative,subject,19,13,14:37
Iran,attack,action,object,12,11,5:14
Iran,respond,communicative,subject,11,10,13:12
Iran,attack,action_nominal,nominal_agent,10,8,8:11
Iran,deny,communicative,subject,10,8,22:19
Iran,accuse,communicative,object,9,9,11:18
Iran,want,mental,subject,9,7,26:7
Iran,continue,other,subject,7,7,3:18
Iran,launch,action,prep_target,6,6,13:11
Iran,remain,other,subject,6,6,15:67
Iran,insist,communicative,subject,6,5,24:33
Iran,block,action,subject,6,6,38:3
Iran,decide,other,subject,6,5,52:33
Iran,announce,communicative,subject,5,5,20:28
Iran,show,other,subject,5,5,26:31
Iran,seek,mental,subject,4,4,3:34
Iran,launch,action,subject,4,4,8:15
Iran,response,action_nominal,nominal_agent,4,3,13:30
Iran,warn,communicative,subject,4,3,14:22
Iran,threaten,communicative,subject,4,4,18:24
Iran,end,other,subject,4,4,20:28
Iran,try,other,subject,4,4,21:33
Iran,attack,action,subject,4,4,24:27
Iran,call,communicative,subject,4,4,27:18
Iran,give,other,subject,4,4,33:28
Iran,restrict,other,subject,4,4,39:10
Iran,infuriate,other,object,3,3,10:6
Iran,confirm,communicative,subject,3,3,18:28
Iran,close,action,subject,3,3,22:2
Iran,urge,communicative,object,3,3,23:8
Iran,do,other,subject,3,3,24:26
Iran,fire,action,subject,3,3,24:49
Iran,make,other,subject,3,3,26:18
Iran,target,action,subject,3,3,33:15
Iran,refuse,other,subject,3,3,57:14
Iran,demand,communicative,subject,3,3,69:24
Iran,push,other,object,3,3,78:4
Iran,retaliate,action,subject,2,2,3:10
Iran,keep,other,subject,2,2,3:32
Iran,lay,other,subject,2,2,8:24
Iran,control,other,subject,2,2,10:5
Iran,bow,other,subject,2,2,17:2
Iran,enter,other,object,2,2,17:12
Iran,share,other,subject,2,2,18:20
Iran,warn,communicative,object,2,2,18:23
Iran,review,other,subject,2,2,20:14
Iran,deliver,other,subject,2,2,20:16
Iran,threat,action_nominal,nominal_agent,2,2,22:3
Iran,pressure,other,object,2,2,25:12
Iran,comment,communicative,subject,2,2,25:17
Iran,receive,other,subject,2,2,28:30
Iran,limit,other,subject,2,2,30:13
Iran,send,action,subject,2,2,30:16
Iran,begin,other,subject,2,2,33:26
Iran,suffer,other,subject,2,2,36:54
Iran,use,other,subject,2,2,38:52
Iran,hold,action,subject,2,2,42:4
Iran,describe,communicative,subject,2,2,49:6
Iran,accuse,communicative,subject,2,2,50:17
Iran,accuse,communicative,passive_subject,2,1,50:29
Iran,seize,action,subject,2,2,52:24
Iran,deem,mental,subject,2,2,53:33
Iran,attend,other,subject,2,2,57:23
Iran,blackmail,other,subject,2,2,59:32
Iran,live,other,subject,2,2,60:36
Iran,back,action,subject,2,2,67:2
Iran,offer,other,subject,2,2,83:15
Iran,charge,other,subject,2,2,88:22
Iran,bomb,action,object,2,1,89:67
Iran,know,mental,passive_subject,1,1,3:12
Iran,turn,other,subject,1,1,4:10
Iran,carry,other,subject,1,1,5:24
Iran,allow,other,passive_subject,1,1,6:10
Iran,obtain,other,subject,1,1,6:19
Iran,hit,action,subject,1,1,8:4
Iran,criticise,communicative,subject,1,1,8:4
Iran,act,other,subject,1,1,11:13
Iran,remains,other,subject,1,1,15:66
Iran,expect,mental,passive_subject,1,1,17:5
Iran,anger,other,object,1,1,17:10
Iran,trifle,other,subject,1,1,18:3
Iran,blockade,action,subject,1,1,20:27
Iran,inch,other,subject,1,1,21:13
Iran,impose,action,subject,1,1,23:13
Iran,come,other,subject,1,1,24:6
Iran,object,other,subject,1,1,25:15
Iran,choose,other,subject,1,1,25:32
Iran,face,other,subject,1,1,26:5
Iran,demonstrate,other,subject,1,1,26:16
Iran,enrich,other,subject,1,1,26:47
Iran,start,other,object,1,1,26:47
Iran,return,other,subject,1,1,27:33
Iran,circumvent,other,subject,1,1,32:31
Iran,fund,action,subject,1,1,32:39
Iran,pay,other,object,1,1,33:1
Iran,stop,other,object,1,1,35:47
Iran,secure,other,subject,1,1,38:10
Iran,see,mental,object,1,1,38:19
Iran,export,other,subject,1,1,38:45
Iran,lose,other,subject,1,1,39:23
Iran,blame,other,object,1,1,40:45
Iran,focus,other,subject,1,1,42:26
Iran,suspect,other,object,1,1,45:22
Iran,hear,other,object,1,1,47:10
Iran,produce,other,subject,1,1,48:7
Iran,represent,other,object,1,1,48:22
Iran,get,other,subject,1,1,49:8
Iran,die,other,subject,1,1,49:25
Iran,tick,other,subject,1,1,49:28
Iran,return,other,object,1,1,49:32
Iran,shoot,action,prep_target,1,1,50:21
Iran,strike,action_nominal,nominal_agent,1,1,50:26
Iran,re,other,subject,1,1,50:47
Iran,announce,communicative,object,1,1,50:50
Iran,open,other,subject,1,1,50:80
Iran,sweep,other,object,1,1,51:48
Iran,reopen,other,subject,1,1,53:29
Iran,remove,other,object,1,1,54:14
Iran,dismiss,other,subject,1,1,54:15
Iran,complain,other,subject,1,1,54:19
Iran,accept,other,subject,1,1,55:4
Iran,condemn,communicative,subject,1,1,55:13
Iran,violate,other,subject,1,1,55:15
Iran,designate,other,subject,1,1,55:18
Iran,thank,other,object,1,1,55:19
Iran,require,other,subject,1,1,55:20
Iran,hit,action,passive_subject,1,1,56:1
Iran,destroy,action,object,1,1,57:2
Iran,maintain,other,subject,1,1,57:10
Iran,hand,other,object,1,1,60:8
Iran,manage,other,subject,1,1,60:8
Iran,see,mental,subject,1,1,60:11
Iran,order,other,object,1,1,60:36
Iran,work,other,subject,1,1,63:18
Iran,promise,other,subject,1,1,64:13
Iran,support,action_nominal,nominal_agent,1,1,65:30
Iran,arm,action,subject,1,1,67:20
Iran,leave,other,object,1,1,70:10
Iran,reject,communicative,subject,1,1,70:31
Iran,capitulate,other,subject,1,1,70:33
Iran,choke,other,subject,1,1,71:14
Iran,blow,other,object,1,1,71:16
Iran,arrange,other,subject,1,1,72:9
Iran,shut,action,subject,1,1,74:8
Iran,starve,other,object,1,1,74:9
Iran,suggest,communicative,subject,1,1,74:21
Iran,force,other,object,1,1,76:4
Iran,encourage,other,object,1,1,76:5
Iran,go,other,subject,1,1,76:17
Iran,weaken,other,passive_subject,1,1,77:10
Iran,strike,action,object,1,1,77:15
Iran,resume,other,object,1,1,77:18
Iran,feel,mental,subject,1,1,78:18
Iran,believe,mental,subject,1,1,78:23
Iran,persuade,other,object,1,1,78:32
Iran,execute,action,subject,1,1,79:1
Iran,survive,other,subject,1,1,79:15
Iran,cut,other,subject,1,1,80:19
Iran,start,other,subject,1,1,80:26
Iran,meet,other,subject,1,1,81:7
Iran,overplay,other,subject,1,1,82:9
Iran,indicate,other,subject,1,1,83:25
Iran,reach,other,subject,1,1,83:27
Iran,resist,other,subject,1,1,84:8
Iran,stand,other,subject,1,1,84:11
Iran,enable,other,object,1,1,84:29
Iran,rank,other,passive_subject,1,1,84:51
Iran,prevent,other,object,1,1,86:50
Iran,do,other,object,1,1,86:68
Iran,abandon,other,subject,1,1,88:10
Iran,satisfy,other,object,1,1,88:13
Iran,seem,other,subject,1,1,88:19
Iran,exercise,other,subject,1,1,88:31
Iran,like,other,subject,1,1,88:35
Iran,tell,communicative,subject,1,1,89:69
Iran,let,other,subject,1,1,89:87
Iran,ask,communicative,subject,1,1,93:7
Iran,abide,other,subject,1,1,93:19
Iran,provide,other,subject,1,1,93:20
Iran,need,other,subject,1,1,93:22
Iran Labour News Agency,include,other,object,1,1,56:20
Iranian Revolutionary Guard Corps,allude,other,subject,1,1,20:26
