entity,predicate,predicate_class,role,count,articles,example_sent
Mr Explosive,claim,communicative,subject,1,1,84:50
Mukesh Bansal,say,communicative,subject,1,1,41:19
Murkowski,add,communicative,subject,1,1,30:38
Mustafa,say,communicative,subject,1,1,51:15
Mustafa,spot,other,object,1,1,51:76
Naim Qassem,reject,communicative,subject,1,1,67:31
Nandito Badea,be,other,subject,1,1,4:3
Narges,tell,communicative,object,1,1,12:12
Narges Mohammadi,transfer,other,passive_subject,1,1,12:1
Narges Mohammadi,award,other,passive_subject,1,1,31:4
Narges Mohammadi,arrest,action,passive_subject,1,1,31:19
Narges Mohammadi Foundation,say,communicative,subject,2,2,12:7
Nassim Papayianni,say,communicative,subject,1,1,5:20
National Farmers' Union,say,communicative,subject,1,1,44:23
Nato,criticise,communicative,object,2,1,64:4
Nato,offer,other,subject,1,1,80:16
Navy,warn,communicative,subject,1,1,61:5
Navy,publish,other,subject,1,1,71:25
Netanyahu,say,communicative,subject,13,9,6:18
Netanyahu,be,other,subject,2,2,69:26
Netanyahu,oppose,other,subject,1,1,6:19
Netanyahu,reveal,other,subject,1,1,8:5
Netanyahu,write,communicative,subject,1,1,20:35
Netanyahu,cave,other,subject,1,1,65:9
Netanyahu,point,other,subject,1,1,65:15
Netanyahu,convene,other,subject,1,1,69:13
Netanyahu,bow,other,subject,1,1,69:15
Netanyahu,know,mental,subject,1,1,69:18
Netanyahu,make,other,subject,1,1,69:19
Netanyahu,cite,other,subject,1,1,77:12
Netanyahu,agree,communicative,subject,1,1,77:33
Netanyahu,have,other,subject,1,1,89:62
Netanyahu,ask,communicative,object,1,1,89:70
Netanyahu,promise,other,subject,1,1,89:90
Netanyahu,tell,communicative,subject,1,1,91:4
New York Times,tell,communicative,object,2,2,40:33
New York Times,report,communicative,subject,1,1,48:12
Nicholas Blanford,tell,communicative,subject,1,1,67:59
Nitya Labh,say,communicative,subject,1,1,24:44
Nord,leave,other,subject,1,1,42:8
Nord,gain,other,subject,1,1,42:10
Nord,have,other,subject,1,1,42:20
Nord,seize,action,object,1,1,42:22
Nour News,say,communicative,subject,1,1,53:2
OFAC,say,communicative,subject,2,1,33:3
Obama,say,communicative,subject,1,1,34:26
Oldouz Rezvani,say,communicative,subject,1,1,2:43
Oman,visit,other,object,1,1,45:21
Oman,report,communicative,subject,1,1,50:32
Operation Epic Fury,say,communicative,object,2,2,18:26
Operation Epic Fury,be,other,subject,1,1,21:8
Operation Epic Fury,begin,other,subject,1,1,25:25
Operation Epic Fury,launch,action,object,1,1,88:24
Orion,say,communicative,subject,2,1,86:67
Oxfam,tell,communicative,subject,1,1,85:25
Oxfam,plan,mental,subject,1,1,85:29
PBS,tell,communicative,object,1,1,21:12
Pakistan,say,communicative,subject,4,4,28:29
Pakistan,leave,other,object,2,2,45:1
Pakistan,mediate,other,subject,2,2,45:17
Pakistan,make,other,subject,2,1,55:7
Pakistan,be,other,subject,2,2,55:24
Pakistan,play,other,subject,1,1,6:7
Pakistan,try,other,subject,1,1,26:6
Pakistan,intervention,action_nominal,nominal_agent,1,1,50:49
Pakistan,wait,other,subject,1,1,54:5
Pakistan,prove,other,subject,1,1,54:9
Pakistan,give,other,subject,1,1,54:11
Pakistan,continue,other,subject,1,1,54:12
Pakistan,announce,communicative,subject,1,1,55:16
Pakistan,confirm,communicative,subject,1,1,55:23
Pakistan,host,other,subject,1,1,55:34
Pakistan,insist,communicative,subject,1,1,65:8
Palestinians,sideline,other,object,1,1,87:18
Party of God,create,other,passive_subject,1,1,67:19
Pasandideh,thank,other,subject,1,1,68:4
Pasandideh,say,communicative,subject,1,1,68:9
Paul Adams,say,communicative,subject,1,1,38:15
Pentagon,criticise,communicative,object,1,1,40:1
Pentagon,say,communicative,subject,1,1,40:4
Pentagon,release,action,subject,1,1,40:7
Pentagon,comment,communicative,subject,1,1,40:20
Pentagon,leave,other,object,1,1,40:24
Pentagon,take,other,subject,1,1,40:27
Pentagon,dismiss,other,subject,1,1,49:23
Persian Gulf,exit,other,object,1,1,27:22
Pete Hegseth,ask,communicative,passive_subject,2,2,24:46
Pete Hegseth,say,communicative,subject,2,2,47:6
Pete Hegseth,focus,other,subject,1,1,22:20
Pete Hegseth,contend,other,subject,1,1,34:11
Pete Hegseth,defend,other,subject,1,1,35:15
Pete Hegseth,ask,communicative,subject,1,1,52:27
Pete Hegseth,put,other,subject,1,1,89:32
Peter Burch,be,other,subject,1,1,19:21
Philippines,shorten,other,subject,1,1,90:24
Planet,suspend,other,subject,1,1,85:26
Planet Labs,introduce,other,subject,1,1,85:2
Popular Mobilization Forces,say,communicative,subject,1,1,50:36
Ports and Maritime Organisation of the Islamic Rep of Iran,announce,communicative,subject,1,1,63:7
Ports and Maritime Organisation of the Islamic Republic of Iran,announce,communicative,subject,1,1,65:41
Pouria Zeraati,tell,communicative,subject,1,1,2:2
Project Freedom,pause,other,object,1,1,20:24
Project Freedom,roll,other,object,1,1,21:19
Project Freedom,have,other,subject,1,1,21:27
Project Freedom,support,action,object,1,1,22:12
Project Freedom,be,other,subject,1,1,25:12
Putin,host,other,subject,1,1,42:27
Pyongyang,continue,other,subject,1,1,65:51
Qalibaf,refer,other,subject,1,1,88:42
Qassem,say,communicative,subject,2,1,67:52
Qatar,condemn,communicative,subject,1,1,27:38
Rachel Ledwith,say,communicative,subject,1,1,16:14
Rachel Reeves,say,communicative,subject,1,1,73:6
Rachel Reeves,plan,mental,subject,1,1,80:28
Radmehr,tell,communicative,subject,1,1,17:24
Ramezanisadeh,thank,other,subject,1,1,68:4
Ramezanisadeh,say,communicative,subject,1,1,68:9
Randy George,ask,communicative,object,1,1,52:27
Raphaël Chenuil-Hazan,say,communicative,subject,1,1,79:18
Rathke,say,communicative,subject,1,1,86:77
Red Crescent,report,communicative,subject,1,1,15:55
Red Sea,up,other,object,1,1,70:34
Reeves,be,other,subject,1,1,62:61
Reeves,confront,other,passive_subject,1,1,73:8
Republican Party,pay,other,subject,1,1,81:29
Republicans,oppose,other,subject,2,2,35:46
Republicans,face,other,subject,1,1,3:9
Republicans,tell,communicative,object,1,1,20:11
Republicans,express,other,subject,1,1,35:54
Republicans,include,other,object,1,1,40:32
Republicans,suggest,communicative,subject,1,1,66:18
Reuters,tell,communicative,object,2,2,61:19
Reuters,quote,other,subject,1,1,8:10
Reuters,report,communicative,subject,1,1,21:13
Reuters,see,mental,subject,1,1,38:60
Reuters,be,other,subject,1,1,86:80
Revolutionary Court,sentence,other,subject,2,2,12:26
Revolutionary Courts,hand,other,subject,1,1,79:14
Reyhaneh,hold,action,subject,1,1,51:69
Richard Corbett,say,communicative,subject,1,1,19:6
Richard Meade,show,other,subject,1,1,71:21
Richard Meade,say,communicative,subject,1,1,78:27
Road Less Travelled,read,other,object,1,1,36:24
Robertson,lead,other,object,1,1,73:16
Robertson,choose,other,subject,1,1,73:18
Ronald Reagan,receive,other,subject,1,1,34:14
Rumley,say,communicative,subject,1,1,21:25
Russia,launch,action,subject,2,2,42:21
Russia,invasion,action_nominal,nominal_agent,1,1,39:29
Russia,support,action_nominal,nominal_agent,1,1,42:31
Russia,be,other,subject,1,1,89:85
Russian,invasion,action_nominal,nominal_agent,1,1,42:24
SNSC,say,communicative,subject,1,1,61:12
Saeed Khatibzadeh,say,communicative,subject,1,1,93:2
Safa Bleik,happen,other,subject,1,1,92:20
Saffron,be,other,subject,2,1,13:2
Sahand,say,communicative,subject,4,1,32:1
Sahand,advise,other,subject,1,1,32:36
Sana,be,other,subject,1,1,29:13
Sana,meet,other,object,1,1,29:17
Sana,feel,mental,subject,1,1,29:25
Sanam Vakil,describe,communicative,subject,1,1,83:20
Sanjay Jain,say,communicative,subject,1,1,41:10
Sattar Hashemi,call,communicative,subject,1,1,51:32
Saudi Arabia,report,communicative,subject,1,1,50:32
Saudis,pump,other,subject,1,1,89:56
Scott Bessent,say,communicative,subject,1,1,33:14
Scott Bessent,pop,other,subject,1,1,62:8
Scott Bessent,tell,communicative,subject,1,1,74:25
Sean Parnell,tell,communicative,subject,1,1,49:24
Senate,reject,communicative,subject,1,1,66:17
Serv Surrey,say,communicative,subject,1,1,16:17
Sharif,say,communicative,subject,1,1,92:11
Shebaz Sharif,say,communicative,subject,1,1,45:20
Shehbaz Sharif,declare,communicative,subject,1,1,50:52
Shehbaz Sharif,post,communicative,subject,1,1,54:12
Shehbaz Sharif,speak,communicative,subject,1,1,59:26
Shehbaz Sharif,announce,communicative,subject,1,1,92:10
Sherriff,say,communicative,subject,2,1,16:6
Shia Muslims,be,other,subject,1,1,67:76
Shiel,say,communicative,subject,1,1,40:41
Shirin,be,other,subject,2,1,15:6
Shirin,suffer,other,subject,1,1,15:15
Shirin,interrogate,other,passive_subject,1,1,15:38
Shirin,lose,other,subject,1,1,15:47
Shirin,worry,other,subject,1,1,15:63
Shirin,expect,mental,subject,1,1,15:65
Singapore,join,other,subject,1,1,90:3
Slopaganda,be,other,subject,1,1,84:12
Snow,work,other,subject,1,1,43:7
Somerset,follow,other,object,1,1,43:18
Somerset Air Ambulance,say,communicative,subject,1,1,19:15
South Korea,report,communicative,subject,2,1,27:2
South Korea,launch,action,subject,1,1,90:29
South Pars,target,action,object,1,1,50:13
SpaceX,contact,other,object,1,1,32:17
Spain,suspend,other,object,1,1,37:30
Sri Lanka,take,other,subject,1,1,72:4
Sri Lanka,allow,other,subject,1,1,72:13
Sri Lanka,intervene,action,subject,1,1,72:15
Sri Lanka,maintain,other,subject,1,1,72:16
Starlink,activate,other,object,1,1,32:34
Starlink,use,other,object,1,1,32:47
Starmer,underline,other,subject,1,1,63:30
Starmer,have,other,subject,1,1,91:11
Starmer,agree,communicative,subject,1,1,91:12
Steve Witkoff,waste,other,subject,1,1,45:2
Steve Witkoff,join,other,subject,1,1,57:19
Steve Witkoff,include,other,object,1,1,82:20
Strait of Hormuz,reopen,other,object,11,10,6:10
Strait of Hormuz,remain,other,subject,6,6,7:18
Strait of Hormuz,be,other,subject,5,5,23:13
Strait of Hormuz,transit,other,object,5,2,24:16
Strait of Hormuz,block,action,object,4,3,8:21
Strait of Hormuz,close,action,object,4,4,35:13
Strait of Hormuz,open,other,object,4,4,50:47
Strait of Hormuz,open,other,passive_subject,3,3,38:38
Strait of Hormuz,control,other,object,2,2,3:18
Strait of Hormuz,approach,other,object,2,2,17:22
Strait of Hormuz,unblock,other,object,2,2,21:14
Strait of Hormuz,reopen,other,passive_subject,2,2,23:1
Strait of Hormuz,leave,other,object,2,2,38:44
Strait of Hormuz,reopen,other,subject,2,2,63:1
Strait of Hormuz,cross,other,object,2,2,71:1
Strait of Hormuz,make,other,object,1,1,26:18
Strait of Hormuz,block,action,passive_subject,1,1,27:8
Strait of Hormuz,exit,other,object,1,1,27:20
Strait of Hormuz,enter,other,object,1,1,28:1
Strait of Hormuz,secure,other,object,1,1,38:10
Strait of Hormuz,restore,other,object,1,1,60:12
Strait of Hormuz,promise,other,object,1,1,64:13
Strait of Hormuz,become,other,subject,1,1,71:14
Strait of Hormuz,shut,action,object,1,1,74:8
Strait of Hormuz,keep,other,object,1,1,80:8
Strait of Hormuz,describe,communicative,object,1,1,91:18
Strait of Hormuz,close,action,passive_subject,1,1,93:25
Strait of Hormuz - one,control,other,object,1,1,10:5
Strip,send,action,prep_target,1,1,85:30
Supreme National Security Council,say,communicative,subject,1,1,61:11
Susan,be,other,subject,1,1,29:43
Susan,want,mental,subject,1,1,29:49
TOUSKA,be,other,subject,1,1,59:9
Taif Agreement,mandate,other,subject,1,1,67:21
Tasnim,post,communicative,subject,1,1,52:20
Tasnim News Agency,call,communicative,subject,1,1,63:10
Tass,report,communicative,subject,1,1,42:28
Thailand,implement,other,subject,1,1,90:27
Thames Valley,say,communicative,subject,1,1,19:3
Thames Valley Air Ambulance,say,communicative,subject,1,1,19:11
Thomas Kazakos,say,communicative,subject,1,1,71:23
Thomas Massie,be,other,subject,1,1,66:12
Tim Wilkins,tell,communicative,subject,1,1,24:16
Tine Munk,characterise,communicative,subject,1,1,84:32
Tiyari,say,communicative,subject,1,1,13:23
Todd Harrison,tell,communicative,subject,1,1,85:32
Tony Burke,say,communicative,subject,1,1,68:14
Tony Vaughan,urge,communicative,subject,1,1,1:20
Touska,intercept,action,passive_subject,1,1,28:28
Touska,approach,other,object,1,1,38:34
Touska,seize,action,passive_subject,1,1,59:2
Trump,say,communicative,subject,88,42,3:1
Trump,tell,communicative,subject,12,12,20:11
Trump,announce,communicative,subject,12,10,24:1
Trump,write,communicative,subject,5,5,14:37
Trump,warn,communicative,subject,4,4,3:26
Trump,threaten,communicative,subject,4,4,20:17
Trump,confirm,communicative,subject,4,4,28:39
Trump,hop,other,subject,4,4,33:17
Trump,respond,communicative,subject,4,3,33:29
Trump,pull,other,subject,4,4,35:50
Trump,make,other,subject,4,4,63:12
Trump,agree,communicative,subject,4,3,69:26
Trump,suggest,communicative,subject,3,3,3:33
Trump,reject,communicative,subject,3,3,8:25
Trump,repeat,other,subject,3,3,11:21
Trump,dismiss,other,subject,3,3,13:30
Trump,insist,communicative,subject,3,3,34:1
Trump,be,other,subject,3,3,34:17
Trump,do,other,subject,3,3,34:21
Trump,give,other,subject,3,2,70:28
Trump,call,communicative,subject,2,2,3:13
Trump,criticise,communicative,subject,2,2,11:11
Trump,accuse,communicative,subject,2,2,11:18
Trump,post,communicative,subject,2,2,14:9
Trump,declare,communicative,subject,2,2,22:2
Trump,retreat,other,subject,2,2,24:39
Trump,claim,communicative,subject,2,2,25:14
Trump,describe,communicative,subject,2,2,48:7
Trump,order,other,subject,2,2,49:4
Trump,go,other,subject,2,2,60:26
Trump,threat,action_nominal,nominal_agent,2,2,70:20
Trump,have,other,subject,2,2,81:1
Trump,address,other,subject,1,1,11:14
Trump,launch,action,subject,1,1,17:9
Trump,predict,other,subject,1,1,20:1
Trump,change,other,subject,1,1,21:6
Trump,express,other,subject,1,1,21:9
Trump,maintain,other,subject,1,1,21:23
Trump,persuade,other,object,1,1,21:28
Trump,pause,other,subject,1,1,22:26
Trump,set,other,passive_subject,1,1,23:5
Trump,want,mental,subject,1,1,25:32
Trump,ask,communicative,passive_subject,1,1,25:37
Trump,seem,other,subject,1,1,26:44
Trump,dump,other,subject,1,1,26:46
Trump,add,communicative,subject,1,1,28:18
Trump,require,other,passive_subject,1,1,34:8
Trump,commit,other,subject,1,1,34:22
Trump,point,other,subject,1,1,34:24
Trump,constrain,other,object,1,1,35:44
Trump,consider,mental,subject,1,1,35:51
Trump,propose,other,subject,1,1,37:23
Trump,assure,other,subject,1,1,37:27
Trump,anger,other,passive_subject,1,1,37:28
Trump,meet,other,object,1,1,39:3
Trump,instruct,other,subject,1,1,39:7
Trump,urge,communicative,subject,1,1,39:24
Trump,opt,other,subject,1,1,39:27
Trump,cancel,other,subject,1,1,45:1
Trump,decide,other,subject,1,1,47:10
Trump,set,other,subject,1,1,50:47
Trump,postpone,other,subject,1,1,50:80
Trump,hate,other,subject,1,1,51:57
Trump,hate,other,object,1,1,51:57
Trump,avoid,other,subject,1,1,52:32
Trump,manage,other,subject,1,1,52:34
Trump,extend,other,subject,1,1,53:5
Trump,attempt,other,subject,1,1,55:27
Trump,hit,action,prep_target,1,1,60:40
Trump,love,other,subject,1,1,65:49
Trump,offer,other,subject,1,1,66:5
Trump,double,other,subject,1,1,70:12
Trump,blockade,action_nominal,nominal_agent,1,1,70:33
Trump,float,other,subject,1,1,78:5
Trump,find,other,subject,1,1,81:20
Trump,travel,other,subject,1,1,81:30
Trump,pick,other,subject,1,1,82:20
Trump,joke,other,subject,1,1,82:24
Trump,watch,other,subject,1,1,82:28
Trump,die,other,object,1,1,84:2
Trump,fall,other,subject,1,1,84:10
Trump,fund,action,subject,1,1,84:45
Trump,task,other,subject,1,1,86:21
Trump,back,action,object,1,1,86:48
Trump,let,other,subject,1,1,86:49
Trump,tap,other,subject,1,1,86:53
Trump,hand,other,subject,1,1,86:54
Trump,throw,other,subject,1,1,86:75
Trump,try,other,subject,1,1,86:79
Trump,boast,other,subject,1,1,87:18
Trump,speak,communicative,subject,1,1,89:3
Trump,need,other,subject,1,1,89:6
Trump,lampoon,other,object,1,1,89:9
Trump,expect,mental,subject,1,1,89:25
Trump,demand,communicative,subject,1,1,89:67
Trump,ask,communicative,subject,1,1,89:70
Trump,promise,other,subject,1,1,89:90
Trump,veer,other,subject,1,1,89:92
Trump,include,other,object,1,1,92:13
Trump Administration,response,action_nominal,nominal_agent,1,1,62:27
Trump's Make America Great Again,satisfy,other,object,1,1,86:14
Turkey,say,communicative,subject,1,1,50:38
UAE,remain,other,subject,1,1,8:18
UAE,double,other,subject,1,1,26:34
UAE,report,communicative,subject,1,1,27:2
UK,remain,other,subject,3,2,16:4
UK,hit,action,object,3,3,38:50
UK,leave,other,object,2,2,4:18
UK,say,communicative,subject,2,2,10:1
UK,drag,other,passive_subject,2,2,10:22
UK,support,action,subject,2,2,10:23
UK,involve,other,passive_subject,2,1,80:1
UK,announce,communicative,subject,1,1,10:11
UK,deployment,action_nominal,nominal_agent,1,1,14:28
UK,be,other,subject,1,1,19:17
UK,continue,other,subject,1,1,27:32
UK,face,other,subject,1,1,62:49
UK,show,other,object,1,1,62:61
UK,lead,other,subject,1,1,64:1
UK,defend,other,object,1,1,73:18
UK,have,other,subject,1,1,80:10
UK,co,other,subject,1,1,80:14
UK,send,action,subject,1,1,80:18
UK,see,mental,subject,1,1,91:5
UK,refuse,other,subject,1,1,91:6
UK,criticise,communicative,object,1,1,91:7
UK,involve,other,object,1,1,91:8
UK,chair,other,subject,1,1,91:29
UK Government,take,other,subject,1,1,9:17
UK Maritime Trade Operations (UKMTO,say,communicative,subject,2,2,25:20
UN,say,communicative,subject,1,1,5:14
UN,fear,mental,subject,1,1,5:26
UNHCR,say,communicative,subject,1,1,33:21
US,say,communicative,subject,16,15,17:16
US,attack,action,subject,14,13,5:14
US,launch,action,subject,13,13,13:11
US,be,other,subject,12,11,14:24
US,have,other,subject,9,8,14:25
US,enforce,action,subject,8,7,3:20
US,announce,communicative,subject,8,8,20:28
US,begin,other,subject,7,6,20:27
US,accuse,communicative,object,6,6,17:1
US,intercept,action,subject,6,6,38:22
US,agree,communicative,subject,6,6,50:4
US,impose,action,subject,5,5,20:29
US,come,other,subject,4,4,24:6
US,continue,other,subject,4,4,39:18
US,feel,mental,subject,4,4,47:13
US,attack,action_nominal,nominal_agent,3,3,3:11
US,target,action,subject,3,3,17:22
US,carry,other,subject,3,3,22:25
US,fire,action,prep_target,3,3,24:5
US,start,other,subject,3,3,27:40
US,ask,communicative,object,3,3,28:17
US,pull,other,object,3,3,35:50
US,use,other,subject,3,3,46:16
US,leave,other,object,3,3,57:5
US,blackmail,other,object,3,3,59:32
US,tell,communicative,object,2,2,3:5
US,fail,other,subject,2,2,3:25
US,remove,other,subject,2,2,11:18
US,maintain,other,subject,2,2,17:10
US,destroy,action,subject,2,2,17:25
US,surrender,other,subject,2,2,18:23
US,lead,other,subject,2,1,22:5
US,urge,communicative,object,2,2,23:8
US,contact,other,subject,2,2,24:12
US,want,mental,subject,2,2,26:7
US,go,other,subject,2,2,26:30
US,strike,action,subject,2,1,27:1
US,seek,mental,subject,2,2,27:1
US,seize,action,subject,2,2,28:25
US,blockade,action_nominal,nominal_agent,2,2,28:28
US,withdraw,action,subject,2,2,28:34
US,receive,other,subject,2,2,28:39
US,hit,action,subject,2,2,40:12
US,achieve,other,subject,2,2,50:56
US,stop,other,subject,2,2,57:13
US,involve,other,passive_subject,2,2,64:19
US,insist,communicative,subject,2,2,70:16
US,prompt,other,object,2,2,74:1
US,reject,communicative,subject,2,2,87:53
US,warn,communicative,object,1,1,3:4
US,set,other,subject,1,1,3:31
US,claim,communicative,subject,1,1,3:34
US,issue,other,subject,1,1,7:18
US,support,action_nominal,nominal_agent,1,1,14:19
US,fire,action,subject,1,1,17:2
US,signal,other,subject,1,1,17:14
US,opt,other,subject,1,1,18:17
US,threaten,communicative,subject,1,1,18:24
US,gain,other,subject,1,1,20:15
US,inch,other,subject,1,1,21:13
US,grant,other,subject,1,1,21:17
US,advise,other,subject,1,1,22:14
US,sanction,action,subject,1,1,23:15
US,challenge,other,object,1,1,23:18
US,attempt,other,subject,1,1,24:13
US,disregard,other,subject,1,1,24:24
US,pause,other,subject,1,1,24:35
US,jeopardise,other,subject,1,1,25:18
US,face,other,subject,1,1,26:5
US,allow,other,subject,1,1,26:18
US,inflict,other,subject,1,1,26:25
US,show,other,subject,1,1,26:28
US,kill,action,subject,1,1,26:32
US,start,other,object,1,1,26:47
US,ask,communicative,passive_subject,1,1,27:42
US,deny,communicative,subject,1,1,28:1
US,shoot,action,prep_target,1,1,28:6
US,help,other,object,1,1,29:54
US,help,other,subject,1,1,30:10
US,step,other,subject,1,1,30:36
US,warn,communicative,subject,1,1,33:1
US,reach,other,object,1,1,35:7
US,institute,other,subject,1,1,35:27
US,study,other,subject,1,1,37:1
US,humiliate,other,passive_subject,1,1,37:2
US,travel,other,subject,1,1,37:12
US,punish,other,subject,1,1,37:30
US,resume,other,subject,1,1,38:9
US,see,mental,object,1,1,38:19
US,mean,other,object,1,1,38:20
US,invite,other,subject,1,1,38:60
US,prepare,other,subject,1,1,39:1
US,operate,other,subject,1,1,40:21
US,cause,other,subject,1,1,40:23
US,increase,other,subject,1,1,45:6
US,suspect,other,subject,1,1,45:22
US,wait,other,subject,1,1,48:7
US,condemn,communicative,subject,1,1,50:40
US,denounce,other,object,1,1,50:70
US,talk,other,subject,1,1,50:75
US,hold,action,subject,1,1,52:4
US,consider,mental,subject,1,1,52:35
US,struggle,other,subject,1,1,54:21
US,lift,other,subject,1,1,57:1
US,get,other,subject,1,1,57:15
US,give,other,subject,1,1,59:8
US,end,other,subject,1,1,59:29
US,put,other,subject,1,1,61:12
US,retaliate,action,prep_target,1,1,63:15
US,work,other,subject,1,1,63:18
US,see,mental,subject,1,1,65:29
US,downgrade,other,subject,1,1,67:58
US,propose,other,subject,1,1,74:20
US,back,action,subject,1,1,77:29
US,pressure,other,object,1,1,78:20
US,hop,other,subject,1,1,78:32
US,bring,other,subject,1,1,80:17
US,determine,other,subject,1,1,81:11
US,blockade,action,subject,1,1,82:12
US,aid,action_nominal,nominal_agent,1,1,86:13
US,drag,other,passive_subject,1,1,86:49
US,recognise,other,subject,1,1,87:53
US,seem,other,subject,1,1,87:54
US,expect,mental,subject,1,1,89:24
US,instal,other,subject,1,1,89:26
US,ignite,other,subject,1,1,89:33
US,do,other,subject,1,1,89:35
US,translate,other,subject,1,1,89:39
US,need,other,subject,1,1,89:85
US,campaign,action_nominal,nominal_agent,1,1,91:16
US,accuse,communicative,subject,1,1,91:31
US,wag,other,subject,1,1,91:32
US,choose,other,subject,1,1,93:2
US Defense Department,announce,communicative,subject,1,1,52:25
US Department of Defence,say,communicative,subject,1,1,49:2
US Department of Defense,decline,other,subject,1,1,40:15
US Department of Defense,release,action,subject,1,1,72:8
US Marines,deploy,action,object,1,1,34:14
US Navy,order,other,object,3,2,26:29
US Navy,seize,action,subject,2,2,58:2
US Navy,fire,action,subject,1,1,55:12
US Navy,warn,communicative,object,1,1,71:16
US State Department,say,communicative,subject,1,1,88:12
US Supreme Court,find,other,subject,1,1,66:11
US Treasury,announce,communicative,subject,1,1,33:13
Ukraine,do,other,object,1,1,86:68
Umesh Babu,spend,other,subject,1,1,41:45
United Arab Emirates,visit,other,object,1,1,8:1
United Arab Emirates,say,communicative,subject,1,1,28:24
United Arab Emirates (UAE,look,other,subject,1,1,26:33
United Kingdom Maritime Transportation Operation (UKMTO,report,communicative,subject,1,1,28:23
United Nations Resolution 1701,implement,other,passive_subject,1,1,67:24
United States Air Force,use,other,subject,1,1,46:1
United States Central Command,define,other,subject,1,1,42:17
Urea,double,other,subject,1,1,62:24
VanLandingham,be,other,subject,1,1,40:9
Vance,tell,communicative,subject,3,2,74:23
Vance,be,other,subject,3,1,86:16
Vance,have,other,subject,2,1,86:58
Vance,expect,mental,passive_subject,1,1,57:19
Vance,board,action,subject,1,1,70:28
Vance,give,other,subject,1,1,82:6
Vance,leave,other,subject,1,1,82:9
Vance,land,other,subject,1,1,82:21
Vance,back,action,subject,1,1,82:25
Vance,handle,other,subject,1,1,82:27
Vance,lead,other,subject,1,1,82:28
Vance,speak,communicative,subject,1,1,83:21
Vance,warn,communicative,subject,1,1,83:29
Vance,watch,other,object,1,1,86:8
Vance,need,other,subject,1,1,86:9
Vance,face,other,subject,1,1,86:14
Vance,signal,other,subject,1,1,86:17
Vance,collaborate,other,subject,1,1,86:22
Vance,tamp,other,subject,1,1,86:23
Vance,tell,communicative,object,1,1,86:28
Vance,try,other,subject,1,1,86:36
Vance,work,other,subject,1,1,86:38
Vance,make,other,subject,1,1,86:40
Vance,position,action,subject,1,1,86:43
Vance,agree,communicative,subject,1,1,86:46
Vance,put,other,object,1,1,86:47
Vance,publish,other,subject,1,1,86:48
Vance,call,communicative,subject,1,1,86:52
Vance,tap,other,object,1,1,86:53
Vance,choose,other,passive_subject,1,1,86:55
Vance,involve,other,passive_subject,1,1,86:64
Vance,command,other,subject,1,1,86:71
Vance,forget,other,object,1,1,86:73
Vanguard,identify,other,subject,1,1,7:3
Vanguard,tell,communicative,object,1,1,7:4
Vanguard,say,communicative,subject,1,1,7:13
Vanguard,tell,communicative,subject,1,1,53:18
Venkatakrishnan,be,other,subject,1,1,62:56
Videos,say,communicative,passive_subject,1,1,57:8
Viktor Orbán,make,other,object,1,1,86:42
Volodymyr Zelensky,accuse,communicative,object,1,1,86:41
Wafiq Safa,tell,communicative,subject,1,1,65:20
Wall Street Journal,report,communicative,subject,1,1,8:17
Wall Street Journal,cite,other,subject,1,1,39:26
Wall Street Journal,publish,other,object,1,1,86:48
Wang,reiterate,other,subject,1,1,23:8
Wang,add,communicative,subject,1,1,23:9
Wang,tell,communicative,object,1,1,23:10
Wang,emphasise,communicative,subject,1,1,23:12
Wang Yi,call,communicative,subject,1,1,23:1
Wang Yi,tell,communicative,subject,1,1,23:3
Wang Yi,say,communicative,subject,1,1,23:6
War Powers Resolution,define,other,subject,1,1,35:30
War Powers Resolution,adhere,other,passive_subject,1,1,35:41
War Powers Resolution,pass,other,passive_subject,1,1,66:21
Warren Davidson,vote,other,subject,1,1,66:13
Washington Post,tell,communicative,object,1,1,86:49
Wes Bryant,tell,communicative,subject,1,1,40:21
West,trust,other,object,1,1,51:64
West,target,action,object,1,1,84:31
Westminster,resolve,other,subject,1,1,1:9
White House,say,communicative,subject,4,3,7:17
White House,believe,mental,subject,2,2,18:19
White House,tell,communicative,subject,1,1,24:38
White House,contact,other,object,1,1,37:5
White House,confirm,communicative,subject,1,1,59:4
Witkoff,send,action,object,1,1,47:10
Witkoff,lead,other,subject,1,1,86:65
Witkoff,do,other,subject,1,1,86:68
World Bank,surge,other,subject,1,1,39:29
World Bank,readie,other,subject,1,1,62:18
World Health Organization,report,communicative,subject,1,1,15:56
Xi,make,other,subject,1,1,7:17
Xi,be,other,subject,1,1,23:17
Xi,challenge,other,subject,1,1,23:18
Yasmin,tell,communicative,subject,1,1,32:46
Yvette Cooper,act,other,subject,1,1,1:10
Yvette Cooper,call,communicative,subject,1,1,91:14
Zack Polanski,say,communicative,subject,1,1,91:36
Zeraati,say,communicative,subject,2,1,2:8
Zeraati,describe,communicative,subject,1,1,2:6
Zeraati,add,communicative,subject,1,1,2:13
Zeraati,take,other,passive_subject,1,1,2:18
Zeraati,see,mental,subject,1,1,2:19
Zereshk,increase,other,subject,1,1,13:27
Ziad Samir Itani,say,communicative,subject,1,1,92:42
Zoetic Ltd,run,other,object,1,1,13:16
Zvi,ask,communicative,subject,1,1,77:6
navy,say,communicative,subject,2,2,49:16
sports ministry,say,communicative,subject,1,1,68:15
